%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -406.1830543875694, 8.377375900745392, -151.0321198105812, -35.663685977458954, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286902989E9, 0.0, 2024-02-21 20:14:46.902
0.0, 474.39882957935333, 593.8362745642662, 844.2001371979713, 156.2978989481926, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286902989E9, 0.0, 2024-02-21 20:14:46.902
1.0, 376.98191553354263, 19.38764137029648, 177.6003690958023, 48.34942662715912, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70855728691664E9, 0.0, 2024-02-21 20:14:46.916
1.0, -518.2005378603935, -561.2841853499413, -825.051849424839, -142.41539031267166, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70855728691664E9, 0.0, 2024-02-21 20:14:46.916
2.0, -401.6353360414505, 12.207033455371857, -146.00569427013397, -36.62110036611557, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286927946E9, 0.0, 2024-02-21 20:14:46.927
2.0, 472.4840008020401, 589.5279098153114, 835.1047005057335, 160.84561729431152, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286927946E9, 0.0, 2024-02-21 20:14:46.927
3.0, 373.3916115760803, 29.679846048355103, 178.55778348445892, 49.306841015815735, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286930948E9, 0.0, 2024-02-21 20:14:46.930
3.0, -521.3121346235275, -566.5499644875526, -831.7537501454353, -155.8191917538643, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286930948E9, 0.0, 2024-02-21 20:14:46.930
4.0, -413.84236949682236, 9.334790289402008, -155.10113096237183, -31.83402842283249, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286942182E9, 0.0, 2024-02-21 20:14:46.942
4.0, 461.71308892965317, 586.4163130521774, 833.1898717284203, 152.70759499073029, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286942182E9, 0.0, 2024-02-21 20:14:46.942
5.0, 386.79541301727295, 29.919199645519257, 186.69580578804016, 50.0249018073082, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286957984E9, 0.0, 2024-02-21 20:14:46.957
5.0, -517.0037698745728, -577.3208763599396, -829.3602141737938, -146.9631086587906, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286957984E9, 0.0, 2024-02-21 20:14:46.957
6.0, -422.21974539756775, 11.967679858207703, -156.53725254535675, -38.29657554626465, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286962241E9, 0.0, 2024-02-21 20:14:46.962
6.0, 459.0801993608475, 605.3252472281456, 833.6685789227486, 162.9997996687889, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286962241E9, 0.0, 2024-02-21 20:14:46.962
7.0, 387.27412021160126, 24.17471331357956, 189.80740255117416, 55.290680944919586, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286972249E9, 0.0, 2024-02-21 20:14:46.972
7.0, -523.7056705951691, -579.9537659287453, -832.4718109369278, -153.1863021850586, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286972249E9, 0.0, 2024-02-21 20:14:46.972
8.0, -424.6132813692093, 10.770911872386932, -154.1437165737152, -36.860453963279724, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286988472E9, 0.0, 2024-02-21 20:14:46.988
8.0, 458.362138569355, 602.4530040621758, 831.9931037425995, 160.60626369714737, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286988472E9, 0.0, 2024-02-21 20:14:46.988
9.0, 396.13020330667496, 28.722431659698486, 190.28610974550247, 51.93973058462143, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286991131E9, 0.0, 2024-02-21 20:14:46.991
9.0, -512.9347587227821, -569.9009148478508, -834.8653469085693, -146.9631086587906, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557286991131E9, 0.0, 2024-02-21 20:14:46.991
10.0, -423.4165133833885, 2.6328895688056946, -162.76044607162476, -32.791442811489105, 0.0, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557287002242E9, 0.0, 2024-02-21 20:14:47.002
10.0, 464.34597849845886, 596.2298105359077, 830.3176285624504, 156.2978989481926, 0.0, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557287002242E9, 0.0, 2024-02-21 20:14:47.002
11.0, 399.24180006980896, 35.90303957462311, 188.13192737102509, 54.33326655626297, 0.0, -1.0400000493973494, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557287017853E9, 0.0, 2024-02-21 20:14:47.017
11.0, -514.6102339029312, -571.3370364308357, -835.5834077000618, -143.85151189565659, 0.0, -1.0400000493973494, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557287017853E9, 0.0, 2024-02-21 20:14:47.017
