Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Timestamp,Other,Timestamp (Formatted)
9.0,-26.21295878943056,381.58760232897475,-12746.315809282474,-146.680746212136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528521025765E9,0.0,2024-01-17 18:55:21.025
10.0,-25.82026929408312,381.29215023247525,-12746.528983579949,-146.9051402094774,0.0,0.0,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521040707E9,0.0,2024-01-17 18:55:21.040
10.0,-25.00123120378703,380.91442033695057,-12746.730938177556,-147.08091550739482,0.0,0.0,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521040762E9,0.0,2024-01-17 18:55:21.040
11.0,-25.483678298071027,381.0565365352668,-12746.652400278486,-147.31652920460328,0.0,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521054648E9,0.0,2024-01-17 18:55:21.054
11.0,-25.981084992177784,381.33702903194353,-12746.618741178885,-147.43620600318536,0.0,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.70552852105466E9,0.0,2024-01-17 18:55:21.054
12.0,-25.543516697362065,380.98921833606437,-12746.760857377201,-147.61946110101417,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521055779E9,0.0,2024-01-17 18:55:21.055
12.0,-24.9002539049834,380.7274253391661,-12747.003950874321,-147.85133489826694,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.70552852105579E9,0.0,2024-01-17 18:55:21.055
13.0,-25.479938398115337,380.9069405370392,-12746.985251374543,-148.02711019618437,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521070159E9,0.0,2024-01-17 18:55:21.070
13.0,-26.17555978987366,381.0864557349123,-12746.985251374543,-148.0532894958742,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521070168E9,0.0,2024-01-17 18:55:21.070
14.0,-25.868887993507087,380.70498593943194,-12747.243304471485,-148.14304709481075,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521084633E9,0.0,2024-01-17 18:55:21.084
